iter	Passed	Remaining
0	2	205
1	4	203
2	6	204
3	8	196
4	10	194
5	12	189
6	13	185
7	16	186
8	18	184
9	20	183
10	22	181
11	24	179
12	26	178
13	28	176
14	30	174
15	32	172
16	35	172
17	37	170
18	39	168
19	41	166
20	43	164
21	45	161
22	47	159
23	49	157
24	51	155
25	53	152
26	55	150
27	57	147
28	59	144
29	60	141
30	62	139
31	64	137
32	66	134
33	67	131
34	69	129
35	71	127
36	73	124
37	74	122
38	76	119
39	78	117
40	80	115
41	81	111
42	82	109
43	84	107
44	86	105
45	87	102
46	89	101
47	91	98
48	92	96
49	94	94
50	96	92
51	98	90
52	100	88
53	101	86
54	102	84
55	104	82
56	106	80
57	107	78
58	109	76
59	111	74
60	113	72
61	114	70
62	116	68
63	118	66
64	120	64
65	121	62
66	123	61
67	125	59
68	127	57
69	129	55
70	131	53
71	133	51
72	134	49
73	136	47
74	138	46
75	139	44
76	141	42
77	143	40
78	145	38
79	146	36
80	148	34
81	150	33
82	151	31
83	153	29
84	155	27
85	157	25
86	159	23
87	160	21
88	162	20
89	164	18
90	166	16
91	167	14
92	169	12
93	171	10
94	173	9
95	174	7
96	176	5
97	178	3
98	180	1
99	181	0
